Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Ruinart Blanc De Blancs Nv (With Giftbox)-BP_144761,668,yes,780,https://www.watsonswine.com/en/wine/ruinart-blanc-de-blancs-nv-with-giftbox-/p/BP_144761,https://www.watsonswine.com/medias/sys_master/front/prd/9030051627038.png,In Stock
Moet & Chandon Imperial Brut With Gift Box-BP_148221,330,no,,https://www.watsonswine.com/en/wine/moet-chandon-imperial-brut-with-gift-box/p/BP_148221,https://www.watsonswine.com/medias/sys_master/front/prd/8863231541278.jpg,In Stock
Veuve Clicquot Yellow Label Brut (With Giftbox)-BP_148231,490,no,,https://www.watsonswine.com/en/wine/veuve-clicquot-yellow-label-brut-with-giftbox-/p/BP_148231,https://www.watsonswine.com/medias/sys_master/front/prd/8913574985758.png,In Stock
Gosset Brut Excellence NV (Without Gift Box)-BP_165878,290,yes,378,https://www.watsonswine.com/en/wine/gosset-brut-excellence-nv-without-gift-box-/p/BP_165878,https://www.watsonswine.com/medias/sys_master/front/prd/8883808731166.png,In Stock
Ruinart Rose Nv (With Gift Box)-BP_166499,668,yes,780,https://www.watsonswine.com/en/wine/ruinart-rose-nv-with-gift-box-/p/BP_166499,https://www.watsonswine.com/medias/sys_master/front/prd/9029527666718.png,In Stock
Moet & Chandon Rose Imperial Brut (With Gift Box)-BP_191055,430,no,,https://www.watsonswine.com/en/wine/moet-chandon-rose-imperial-brut-with-gift-box-/p/BP_191055,https://www.watsonswine.com/medias/sys_master/front/prd/9009615962142.png,In Stock
Gosset Grand Blanc de Blancs Brut NV (With Gift Box)-BP_357057,628,no,,https://www.watsonswine.com/en/wine/gosset-grand-blanc-de-blancs-brut-nv-with-gift-box-/p/BP_357057,https://www.watsonswine.com/medias/sys_master/front/prd/9020720316446.png,In Stock
Perrier Jouet Grand Brut NV-BP_357243,395,yes,478,https://www.watsonswine.com/en/wine/perrier-jouet-grand-brut-nv-without-gift-box-/p/BP_357243,https://www.watsonswine.com/medias/sys_master/front/prd/8937875963934.png,In Stock
Perrier Jouet Blason Rose Brut NV-BP_357244,558,no,,https://www.watsonswine.com/en/wine/perrier-jouet-blason-rose-brut-nv/p/BP_357244,https://www.watsonswine.com/medias/sys_master/front/prd/9012586446878.png,In Stock
Gosset Brut Excellence NV (With Gift Box)-BP_371390,388,no,,https://www.watsonswine.com/en/wine/gosset-brut-excellence-nv-with-gift-box-/p/BP_371390,https://www.watsonswine.com/medias/sys_master/front/prd/9021723770910.png,Out of Stock
Gosset Grand Rose Brut (Without Gift Box)-BP_387956,598,no,,https://www.watsonswine.com/en/wine/gosset-grand-rose-brut-without-gift-box-/p/BP_387956,https://www.watsonswine.com/medias/sys_master/front/prd/8920604966942.png,In Stock
Moet & Chandon Imperial Brut (Without Gift Box)-BP_396944,330,yes,425,https://www.watsonswine.com/en/wine/moet-chandon-imperial-brut-without-gift-box-/p/BP_396944,https://www.watsonswine.com/medias/sys_master/front/prd/9030136234014.png,In Stock
Perrier Jouet Grand Brut NV (Festive Gift Box)-BP_416748,395,no,,https://www.watsonswine.com/en/wine/perrier-jouet-grand-brut-nv-festive-gift-box-/p/BP_416748,https://www.watsonswine.com/medias/sys_master/front/prd/8960599523358.png,In Stock
